FIELD_NAME,RA_DEG,DEC_DEG
RACS_0000+37,0.0,37.24593611111112
RACS_0000-37,0.0,-37.24848888888889
RACS_0000-60,0.0,-60.321713888888894
RACS_0000-64,0.0,-64.90365555555556
RACS_0000-73,0.0,-73.66363055555556
RACS_0000-83,0.0,-82.99065277777778
RACS_0000-87,0.0,-87.66182777777779
RACS_0010+14,2.727270833333333,14.006344444444444
RACS_0010-14,2.727270833333333,-14.008905555555556
RACS_0011+18,2.8125,18.66515833333333
RACS_0011-18,2.8125,-18.66772027777778
RACS_0012+28,3.0,27.966945555555554
RACS_0012+32,3.103445833333333,32.60906666666667
RACS_0012-28,3.0,-27.9695
RACS_0012-32,3.103445833333333,-32.61161944444444
RACS_0013+41,3.4615374999999995,41.876358333333336
RACS_0013-41,3.4615374999999995,-41.87891111111111
RACS_0014+46,3.75,46.500410277777775
RACS_0014-46,3.75,-46.50296111111111
RACS_0016-51,4.090908333333333,-51.11844333333333
RACS_0018-55,4.499999999999999,-55.72483611111111
RACS_0021+00,5.373133333333332,0.0
RACS_0021+04,5.373133333333332,4.673775
RACS_0021+09,5.373133333333332,9.342486111111112
RACS_0021-04,5.373133333333332,-4.676341666666667
RACS_0021-09,5.373133333333332,-9.34505
RACS_0022+23,5.7142833333333325,23.318406944444444
RACS_0022-23,5.7142833333333325,-23.32096388888889
RACS_0026+37,6.545454166666666,37.24593611111112
RACS_0026-37,6.545454166666666,-37.24848888888889
RACS_0027-69,6.923074999999999,-69.47467222222222
RACS_0032+14,8.181816666666666,14.006344444444444
RACS_0032-14,8.181816666666666,-14.008905555555556
RACS_0033+18,8.437499999999998,18.66515833333333
RACS_0033-18,8.437499999999998,-18.66772027777778
RACS_0036+28,8.999999999999998,27.966945555555554
RACS_0036-28,8.999999999999998,-27.9695
RACS_0037+32,9.310341666666666,32.60906666666667
RACS_0037-32,9.310341666666666,-32.61161944444444
RACS_0041+41,10.384612499999998,41.876358333333336
RACS_0041-41,10.384612499999998,-41.87891111111111
RACS_0041-60,10.2857125,-60.321713888888894
RACS_0042+00,10.746266666666664,0.0
RACS_0042+04,10.746266666666664,4.673775
RACS_0042+09,10.746266666666664,9.342486111111112
RACS_0042-04,10.746266666666664,-4.676341666666667
RACS_0042-09,10.746266666666664,-9.34505
RACS_0044+46,11.249999999999998,46.500410277777775
RACS_0044-46,11.249999999999998,-46.50296111111111
RACS_0045+23,11.428570833333334,23.318406944444444
RACS_0045-23,11.428570833333334,-23.32096388888889
RACS_0046-64,11.6129,-64.90365555555556
RACS_0049-51,12.272725,-51.11844333333333
RACS_0052+37,13.090908333333331,37.24593611111112
RACS_0052-37,13.090908333333331,-37.24848888888889
RACS_0052-78,13.024066666666664,-78.01179444444445
RACS_0054+14,13.6363625,14.006344444444444
RACS_0054-14,13.6363625,-14.008905555555556
RACS_0054-55,13.499999999999998,-55.72483611111111
RACS_0056+18,14.062499999999998,18.66515833333333
RACS_0056-18,14.062499999999998,-18.66772027777778
RACS_0100+28,14.999999999999998,27.966945555555554
RACS_0100-28,14.999999999999998,-27.9695
RACS_0102+32,15.5172375,32.60906666666667
