FIELD_NAME,RA_DEG,DEC_DEG
RACS_0000+37,0.0,37.2459361111111
RACS_0000-37,0.0,-37.2484888888889
RACS_0000-60,0.0,-60.3217138888889
RACS_0000-64,0.0,-64.9036555555556
RACS_0000-73,0.0,-73.6636305555556
RACS_0000-83,0.0,-82.9906527777778
RACS_0000-87,0.0,-87.6618277777778
RACS_0010+14,2.72727083333333,14.0063444444444
RACS_0010-14,2.72727083333333,-14.0089055555556
RACS_0011+18,2.8125,18.6651583333333
RACS_0011-18,2.8125,-18.6677202777778
RACS_0012+28,3.0,27.9669455555556
RACS_0012+32,3.10344583333333,32.6090666666667
RACS_0012-28,3.0,-27.9695
RACS_0012-32,3.10344583333333,-32.6116194444444
RACS_0013+41,3.4615375,41.8763583333333
RACS_0013-41,3.4615375,-41.8789111111111
RACS_0014+46,3.75,46.5004102777778
RACS_0014-46,3.75,-46.5029611111111
RACS_0016-51,4.09090833333333,-51.1184433333333
RACS_0018-55,4.5,-55.7248361111111
RACS_0021+00,5.37313333333333,0.0
RACS_0021+04,5.37313333333333,4.673775
RACS_0021+09,5.37313333333333,9.34248611111111
RACS_0021-04,5.37313333333333,-4.67634166666667
RACS_0021-09,5.37313333333333,-9.34505
RACS_0022+23,5.71428333333333,23.3184069444444
RACS_0022-23,5.71428333333333,-23.3209638888889
RACS_0026+37,6.54545416666667,37.2459361111111
RACS_0026-37,6.54545416666667,-37.2484888888889
RACS_0027-69,6.923075,-69.4746722222222
RACS_0032+14,8.18181666666667,14.0063444444444
RACS_0032-14,8.18181666666667,-14.0089055555556
RACS_0033+18,8.4375,18.6651583333333
RACS_0033-18,8.4375,-18.6677202777778
RACS_0036+28,9.0,27.9669455555556
RACS_0036-28,9.0,-27.9695
RACS_0037+32,9.31034166666667,32.6090666666667
RACS_0037-32,9.31034166666667,-32.6116194444444
RACS_0041+41,10.3846125,41.8763583333333
RACS_0041-41,10.3846125,-41.8789111111111
RACS_0041-60,10.2857125,-60.3217138888889
RACS_0042+00,10.7462666666667,0.0
RACS_0042+04,10.7462666666667,4.673775
RACS_0042+09,10.7462666666667,9.34248611111111
RACS_0042-04,10.7462666666667,-4.67634166666667
RACS_0042-09,10.7462666666667,-9.34505
RACS_0044+46,11.25,46.5004102777778
RACS_0044-46,11.25,-46.5029611111111
RACS_0045+23,11.4285708333333,23.3184069444444
RACS_0045-23,11.4285708333333,-23.3209638888889
RACS_0046-64,11.6129,-64.9036555555556
RACS_0049-51,12.272725,-51.1184433333333
RACS_0052+37,13.0909083333333,37.2459361111111
RACS_0052-37,13.0909083333333,-37.2484888888889
RACS_0052-78,13.0240666666667,-78.0117944444445
RACS_0054+14,13.6363625,14.0063444444444
RACS_0054-14,13.6363625,-14.0089055555556
RACS_0054-55,13.5,-55.7248361111111
RACS_0056+18,14.0625,18.6651583333333
RACS_0056-18,14.0625,-18.6677202777778
RACS_0100+28,15.0,27.9669455555556
